ZIPCode,Income
10001,77512
10002,26905
10003,79088
10004,98020
10005,99633
10006,97226
10007,173257
10009,44714
10010,81938
10011,111064
10012,77712
10013,96781
10014,107342
10015,0
10016,87576
10017,104324
10018,76632
10019,86447
10020,0
10021,115478
10022,132596
10023,99916
10024,97669
10025,56151
10026,30904
10027,27977
10028,111660
10029,25577
10030,23064
10031,22954
10032,19137
10033,23976
10034,22776
10035,19691
10036,72435
10037,25736
10038,59309
10039,20185
10040,24468
10041,0
10044,46709
10045,0
10048,0
10055,0
10060,0
10065,113444
10069,118923
10075,113485
10090,0
10095,0
10098,0
10099,0
10103,0
10104,0
10105,0
10106,0
10107,0
10110,0
10111,0
10112,0
10115,0
10118,0
10119,0
10120,0
10121,0
10122,0
10123,0
10128,91988
10151,0
10152,0
10153,0
10154,0
10155,0
10158,0
10161,0
10162,107132
10165,0
10166,0
10167,0
10168,0
10169,0
10170,0
10171,0
10172,0
10173,0
10174,0
10175,0
10176,0
10177,0
10178,0
10199,0
10270,0
10271,0
10278,0
10279,0
10280,90980
10281,0
10282,138381
10301,28054
10302,23165
10303,22593
10304,27811
10305,30178
10306,35187
10307,34894
10308,36756
10309,37508
10310,27220
10311,0
10312,36127
10314,33822
10451,15672
10452,12942
10453,12459
10454,11429
10455,12442
10456,12157
10457,12768
10458,14046
10459,12616
10460,12795
10461,27484
10462,22296
10463,31572
10464,43196
10465,30235
10466,19944
10467,18103
10468,15710
10469,23044
10470,28926
10471,41945
10472,14970
10473,19760
10474,11609
10475,26215
10803,73829
11001,40788
11004,36326
11005,70320
11040,39228
11101,34276
11102,28118
11103,32578
11104,31798
11105,33350
11106,31376
11109,91699
11201,68287
11203,22555
11204,20284
11205,26331
11206,17241
11207,16386
11208,15154
11209,36870
11210,25229
11211,30557
11212,15814
11213,18635
11214,23134
11215,58737
11216,28134
11217,53380
11218,24828
11219,14419
11220,16257
11221,19340
11222,40119
11223,22570
11224,20916
11225,23552
11226,21483
11228,29683
11229,27246
11230,23792
11231,52748
11232,19325
11233,19696
11234,29736
11235,29182
11236,24929
11237,18373
11238,40557
11239,19169
11241,0
11242,0
11243,0
11249,0
11251,0
11252,0
11256,0
11351,0
11354,23833
11355,19811
11356,24417
11357,34857
11358,30097
11359,0
11360,43697
11361,33806
11362,38018
11363,42724
11364,33783
11365,27555
11366,31680
11367,26144
11368,16061
11369,21072
11370,18161
11371,0
11372,25416
11373,21905
11374,32415
11375,44032
11377,23505
11378,29422
11379,33357
11385,24197
11411,31752
11412,25496
11413,28580
11414,35199
11415,35734
11416,21338
11417,24237
11418,23317
11419,19170
11420,22129
11421,23475
11422,29035
11423,25657
11426,31453
11427,29657
11428,23357
11429,24564
11430,8278
11432,21641
11433,17236
11434,23690
11435,23353
11436,23204
11691,19097
11692,21118
11693,25732
11694,37351
11695,0
11697,39540